Created as New Dataset,Sample 845 By YargerLab Date Saturday, April 18 2026
cm-1,A
2772.00,0.0970
2771.00,0.0961
2770.00,0.0952
2769.00,0.0944
2768.00,0.0936
2767.00,0.0928
2766.00,0.0921
2765.00,0.0914
2764.00,0.0907
2763.00,0.0901
2762.00,0.0895
2761.00,0.0890
2760.00,0.0885
2759.00,0.0880
2758.00,0.0876
2757.00,0.0872
2756.00,0.0869
2755.00,0.0866
2754.00,0.0863
2753.00,0.0861
2752.00,0.0859
2751.00,0.0857
2750.00,0.0856
2749.00,0.0854
2748.00,0.0853
2747.00,0.0852
2746.00,0.0851
2745.00,0.0850
2744.00,0.0849
2743.00,0.0848
2742.00,0.0847
2741.00,0.0847
2740.00,0.0847
2739.00,0.0847
2738.00,0.0848
2737.00,0.0849
2736.00,0.0851
2735.00,0.0854
2734.00,0.0858
2733.00,0.0862
2732.00,0.0867
2731.00,0.0871
2730.00,0.0876
2729.00,0.0880
2728.00,0.0883
2727.00,0.0886
2726.00,0.0889
2725.00,0.0890
2724.00,0.0891
2723.00,0.0892
2722.00,0.0892
2721.00,0.0891
2720.00,0.0890
2719.00,0.0889
2718.00,0.0887
2717.00,0.0885
2716.00,0.0883
2715.00,0.0881
2714.00,0.0878
2713.00,0.0876
2712.00,0.0874
2711.00,0.0872
2710.00,0.0870
2709.00,0.0869
2708.00,0.0868
2707.00,0.0868
2706.00,0.0868
2705.00,0.0869
2704.00,0.0871
2703.00,0.0874
2702.00,0.0879
2701.00,0.0884
2700.00,0.0891
2699.00,0.0900
2698.00,0.0910
2697.00,0.0921
2696.00,0.0933
2695.00,0.0946
2694.00,0.0959
2693.00,0.0972
2692.00,0.0985
2691.00,0.0997
2690.00,0.1007
2689.00,0.1015
2688.00,0.1022
2687.00,0.1027
2686.00,0.1029
2685.00,0.1030
2684.00,0.1029
2683.00,0.1027
2682.00,0.1023
2681.00,0.1017
2680.00,0.1011
2679.00,0.1003
2678.00,0.0995
2677.00,0.0986
2676.00,0.0977
2675.00,0.0967
2674.00,0.0958
2673.00,0.0949
2672.00,0.0940
2671.00,0.0931
2670.00,0.0923
2669.00,0.0914
2668.00,0.0907
2667.00,0.0900
2666.00,0.0893
2665.00,0.0887
2664.00,0.0882
2663.00,0.0877
2662.00,0.0872
2661.00,0.0868
2660.00,0.0864
2659.00,0.0861
2658.00,0.0858
2657.00,0.0855
2656.00,0.0853
2655.00,0.0851
2654.00,0.0849
2653.00,0.0847
2652.00,0.0846
2651.00,0.0844
2650.00,0.0843
2649.00,0.0841
2648.00,0.0839
2647.00,0.0837
2646.00,0.0836
2645.00,0.0834
2644.00,0.0832
2643.00,0.0831
2642.00,0.0829
2641.00,0.0827
2640.00,0.0826
2639.00,0.0825
2638.00,0.0824
2637.00,0.0823
2636.00,0.0824
2635.00,0.0825
2634.00,0.0826
2633.00,0.0829
2632.00,0.0834
2631.00,0.0840
2630.00,0.0847
2629.00,0.0857
2628.00,0.0869
2627.00,0.0883
2626.00,0.0900
2625.00,0.0919
2624.00,0.0939
2623.00,0.0962
