Frequency (Hz),FFT Magnitude (dB)
343.51,-65.880
343.75,-67.500
343.99,-67.757
344.24,-65.981
344.48,-68.862
344.73,-65.601
344.97,-67.755
345.21,-68.003
345.46,-67.672
345.70,-67.655
345.95,-67.795
346.19,-66.278
346.44,-68.153
346.68,-71.403
346.92,-69.124
347.17,-68.008
347.41,-70.112
347.66,-68.260
347.90,-68.128
348.14,-67.502
348.39,-64.342
348.63,-67.252
348.88,-68.065
349.12,-70.248
349.37,-71.605
349.61,-69.492
349.85,-70.009
350.10,-69.154
350.34,-66.721
350.59,-68.032
350.83,-68.607
351.07,-69.936
351.32,-70.489
351.56,-69.795
351.81,-71.255
352.05,-70.161
352.29,-66.929
352.54,-69.563
352.78,-70.155
353.03,-69.970
353.27,-67.172
353.52,-69.263
353.76,-68.913
354.00,-72.477
354.25,-71.181
354.49,-66.859
354.74,-70.218
354.98,-70.995
355.22,-68.181
355.47,-67.354
355.71,-68.131
355.96,-69.147
356.20,-70.162
356.45,-67.274
356.69,-70.545
356.93,-66.879
357.18,-68.303
357.42,-68.340
357.67,-67.358
357.91,-70.082
358.15,-69.769
358.40,-70.929
358.64,-71.209
358.89,-71.041
359.13,-69.446
359.38,-72.393
359.62,-69.356
359.86,-68.721
360.11,-69.679
360.35,-69.520
360.60,-70.877
360.84,-71.820
361.08,-70.121
361.33,-67.982
361.57,-69.334
361.82,-69.694
362.06,-71.182
362.30,-71.111
362.55,-68.543
362.79,-70.082
363.04,-71.758
363.28,-71.361
363.53,-72.264
363.77,-70.347
364.01,-71.005
364.26,-73.183
364.50,-68.324
364.75,-69.092
364.99,-69.968
365.23,-69.197
365.48,-72.230
365.72,-71.868
365.97,-71.537
366.21,-66.522
366.46,-71.639
366.70,-70.519
366.94,-70.066
367.19,-70.605
367.43,-71.722
367.68,-71.718
367.92,-70.565
368.16,-71.122
368.41,-68.253
368.65,-69.260
368.90,-72.384
369.14,-73.172
369.38,-69.990
369.63,-70.310
369.87,-70.742
370.12,-70.117
370.36,-71.059
370.61,-70.079
370.85,-72.827
371.09,-72.099
371.34,-72.446
371.58,-69.563
371.83,-71.824
372.07,-70.547
372.31,-72.475
372.56,-69.631
372.80,-71.263
373.05,-70.784
373.29,-71.218
373.54,-71.254
373.78,-70.616
374.02,-71.073
374.27,-72.471
374.51,-70.222
374.76,-72.012
375.00,-68.578
375.24,-72.393
375.49,-70.773
375.73,-70.329
375.98,-70.652
376.22,-72.288
376.46,-71.041
