Frequency (Hz),FFT Magnitude (dB)
699.22,-86.688
699.71,-86.803
700.20,-86.552
700.68,-85.346
701.17,-86.242
701.66,-85.690
702.15,-85.282
702.64,-87.051
703.12,-86.561
703.61,-86.446
704.10,-86.404
704.59,-85.400
705.08,-87.939
705.57,-85.304
706.05,-86.907
706.54,-87.818
707.03,-87.076
707.52,-86.113
708.01,-86.425
708.50,-84.904
708.98,-85.838
709.47,-85.993
709.96,-87.154
710.45,-86.382
710.94,-86.103
711.43,-85.768
711.91,-86.592
712.40,-84.705
712.89,-85.394
713.38,-86.604
713.87,-84.939
714.36,-85.735
714.84,-85.980
715.33,-85.917
715.82,-87.700
716.31,-86.806
716.80,-87.449
717.29,-86.831
717.77,-86.627
718.26,-87.027
718.75,-86.035
719.24,-85.189
719.73,-84.272
720.21,-85.723
720.70,-87.745
721.19,-86.869
721.68,-85.540
722.17,-86.522
722.66,-87.545
723.14,-86.499
723.63,-85.920
724.12,-86.733
724.61,-86.448
725.10,-84.983
725.59,-86.628
726.07,-86.884
726.56,-86.846
727.05,-87.710
727.54,-86.769
728.03,-86.573
728.52,-85.856
729.00,-85.440
729.49,-84.857
729.98,-84.431
730.47,-84.046
730.96,-83.205
731.45,-84.660
731.93,-84.392
732.42,-87.264
732.91,-85.296
733.40,-86.307
733.89,-85.269
734.38,-85.945
734.86,-85.238
735.35,-86.082
735.84,-85.444
736.33,-86.127
736.82,-86.240
737.30,-85.903
737.79,-86.291
738.28,-86.900
738.77,-85.369
739.26,-85.166
739.75,-85.579
740.23,-85.439
740.72,-81.298
741.21,-82.451
741.70,-85.572
742.19,-82.992
742.68,-86.652
743.16,-84.382
743.65,-85.368
744.14,-87.110
744.63,-87.411
745.12,-86.122
745.61,-86.436
746.09,-85.335
746.58,-86.577
747.07,-86.879
747.56,-85.821
748.05,-86.649
748.54,-87.818
749.02,-86.836
749.51,-87.366
750.00,-87.110
750.49,-87.170
750.98,-86.014
751.46,-86.728
751.95,-86.974
752.44,-85.917
752.93,-85.499
